NORAD ID, REFERENCE ALTITUDE EPOCH, REFERENCE ALTITUDE (KM), ESTIMATED REENTRY EPOCH, ESTIMATED REENTRY ALTITUDE (KM), PREDICTION EPOCH, PREDICTION ALTITUDE (KM), MIN DST
44246,2020-02-11 06:00:01+00:00,279.75496875,2020-02-21 06:53:54+00:00,94.742265625,2020-03-15 00:00:01+00:00,98.0096484375,None
45211,2020-03-01 06:00:01+00:00,278.2381875,2020-04-01 02:00:01+00:00,94.706484375,2020-04-25 15:00:01+00:00,99.2852265625,None
44948,2020-03-19 20:00:02+00:00,276.6748125,2020-04-03 16:46:14+00:00,98.098859375,2020-03-29 09:00:02+00:00,95.1250625,None
44278,2020-05-11 06:00:01+00:00,279.85771875,2020-05-27 16:59:57+00:00,95.730796875,2021-01-21 19:00:01+00:00,99.6578359375,None
44965,2020-05-14 22:00:01+00:00,279.121125,2020-05-29 07:41:28+00:00,89.47953125,2020-05-16 20:00:01+00:00,91.5272890625,None
45657,2020-06-16 22:00:01+00:00,280.20828125,2020-07-14 20:23:38+00:00,98.1901640625,2021-02-27 09:00:01+00:00,99.7002109375,None
44277,2020-07-29 20:00:01+00:00,279.01825,2020-08-21 14:57:31+00:00,98.283,2020-08-14 05:00:01+00:00,96.9014375,None
44236,2020-07-31 22:00:01+00:00,280.24246875,2020-08-10 00:16:33+00:00,92.4091640625,2020-08-13 02:00:01+00:00,98.2169140625,None
44255,2020-07-30 06:00:01+00:00,279.13603125,2020-08-21 17:19:04+00:00,94.42284375,2020-08-13 07:00:01+00:00,98.77209375,None
44242,2020-07-28 14:00:01+00:00,279.0978125,2020-08-21 20:11:01+00:00,96.9010703125,2020-08-12 15:00:01+00:00,99.5136484375,None
44270,2020-07-28 14:00:01+00:00,280.4141875,2020-08-23 19:09:46+00:00,97.1695546875,2020-08-10 00:00:01+00:00,93.3294609375,None
44274,2020-07-27 06:00:01+00:00,280.32096875,2020-08-29 09:09:41+00:00,99.5870078125,2020-08-11 08:00:01+00:00,98.3399609375,None
44247,2020-07-29 10:00:02+00:00,280.506,2020-08-29 15:01:32+00:00,94.85015625,2020-08-13 09:00:02+00:00,97.2096015625,None
44239,2020-08-20 14:00:01+00:00,279.88159375,2020-09-01 11:12:09+00:00,89.284328125,2020-08-27 22:00:01+00:00,96.0019453125,None
44272,2020-08-19 14:00:01+00:00,279.6869375,2020-09-03 05:27:35+00:00,99.0566640625,2020-09-01 02:00:01+00:00,97.62996875,None
44237,2020-08-17 06:00:01+00:00,279.7766875,2020-09-02 18:50:40+00:00,99.768671875,2020-08-30 14:00:01+00:00,95.3243984375,None
44248,2020-08-19 22:00:01+00:00,280.36171875,2020-09-03 02:35:25+00:00,93.9356484375,2020-08-31 13:00:01+00:00,99.7875703125,None
44745,2020-07-07 07:35:26+00:00,279.89503125,2020-09-03 02:35:47+00:00,96.813015625,2020-10-23 15:35:26+00:00,99.7962265625,None
44260,2020-08-19 06:00:01+00:00,279.83125,2020-09-04 22:45:47+00:00,85.6032734375,2020-08-31 23:00:01+00:00,99.3919453125,None
44261,2020-08-18 14:00:01+00:00,279.23765625,2020-09-05 21:13:09+00:00,94.5493046875,2020-08-31 10:00:01+00:00,98.47,None
44258,2020-08-16 22:00:01+00:00,279.80865625,2020-09-05 20:52:31+00:00,87.2523359375,2020-08-30 10:00:01+00:00,98.6205546875,None
44280,2020-08-17 06:00:01+00:00,279.76025,2020-09-06 04:23:26+00:00,87.8651015625,2020-08-30 13:00:01+00:00,97.44546875,None
44283,2020-08-15 22:00:01+00:00,280.9686875,2020-09-14 08:05:58+00:00,98.7746796875,2020-08-29 16:00:01+00:00,97.65596875,None
44254,2020-08-16 22:00:01+00:00,280.4265625,2020-09-12 06:13:36+00:00,85.14425,2020-08-30 10:00:01+00:00,97.9467890625,None
44266,2020-08-16 14:00:01+00:00,280.41725,2020-09-15 08:31:28+00:00,99.3008671875,2020-08-30 05:00:01+00:00,99.4756875,None
